q_dot_occ (kW),q_dot_ac (kW),q_dot_vent (kW),q_dot_solar (kW),T_amb (°C),T_b (°C),Phi (Eur/KWh)
0,40,0,0,5.1,24.87327506,0.18
0,40,0,0,4.6,24.45308053,0.18
0,40,0,0,4.3,23.91327361,0.18
0,40,0,0,4,24.04635563,0.18
0,40,0,0,3.8,23.16829154,0.18
0,40,0,0,3.7,23.55772485,0.18
0,40,0,0,3.5,23.02790365,0.25
20.8,40,17.56832,0,3.3,23.90938139,0.25
20.8,40,17.89216,0,2.9,23.93696719,0.25
20.8,40,19.34944,11.5329031,1.1,21.93590673,0.25
20.8,40,18.37792,22.68694103,2.3,23.94820303,0.25
0,40,0,34.34314676,2.8,24.19276755,0.25
20.8,40,18.78272,60.31287302,1.8,27.04696383,0.25
20.8,40,19.10656,19.18624848,1.4,23.17981192,0.25
20.8,40,18.13504,26.75013972,2.6,24.33763605,0.25
20.8,40,17.0016,22.90087915,4,25.40733023,0.25
0,40,0,2.722474838,3.7,23.3323311,0.25
20.8,40,17.08256,0,3.9,24.04689415,0.25
20.8,40,17.24448,0,3.7,23.88278871,0.25
20.8,40,18.86368,0,1.7,21.99493641,0.25
20.8,40,18.05408,0,2.7,22.621885,0.25
0,40,0,0,3.7,22.32562602,0.18
0,40,0,0,3.8,22.41696271,0.18
0,40,0,0,3.9,22.70349463,0.18
0,40,0,0,3.7,22.52217174,0.18
0,40,0,0,3.5,22.51577459,0.18
0,40,0,0,1.5,20.94458541,0.18
0,40,0,0,3.2,21.75168111,0.18
0,40,0,0,4.2,22.5812814,0.18
0,40,0,0,4,22.74826422,0.25
0,40,0,0,5,23.46609356,0.25
20.8,40,18.6208,0,2,22.21420441,0.25
20.8,40,16.5968,0,4.5,24.37264919,0.25
20.8,40,16.192,25.07721237,5,26.08408397,0.25
20.8,40,15.70624,64.54509988,5.6,28.95694715,0.25
0,40,0,34.51404252,2.7,24.18124753,0.25
20.8,40,16.92064,39.3950135,4.1,25.72831788,0.25
20.8,40,15.70624,72.84992851,5.6,29.84542244,0.25
20.8,40,15.86816,61.47536975,5.4,30.45152188,0.25
20.8,40,15.62528,28.28764142,5.7,29.72145393,0.25
0,40,0,3.112809154,4.7,26.30565413,0.25
20.8,40,17.08256,0,3.9,26.09113519,0.25
20.8,40,17.32544,0,3.6,26.33844612,0.25
20.8,40,18.216,0,2.5,25.52042924,0.25
20.8,40,18.94464,0,1.6,24.4011901,0.18
0,40,0,0,2.4,23.68439993,0.18
0,40,0,0,1,24.31525777,0.18
0,40,0,0,0.6,25.45823589,0.18
0,40,0,0,0.8,25.31026496,0.18
0,40,0,0,0.6,27.11009721,0.18
0,40,0,0,1.1,25.23495764,0.18
0,40,0,0,1.3,27.13575704,0.18
0,40,0,0,0.4,28.43981945,0.25
0,40,0,0,0.9,29.41428692,0.25
0,40,0,0,-0.2,26.96953805,0.25
20.8,40,20.24,0,0,25.73598935,0.25
20.8,40,20.07808,0,0.2,26.20741281,0.25
20.8,40,19.34944,7.802108827,1.1,28.02887032,0.25
20.8,40,18.70176,23.17113155,1.9,28.38449056,0.25
0,40,0,34.76421336,2.3,27.49860245,0.25
20.8,40,18.29696,40.08008558,2.4,28.6235473,0.25
20.8,40,18.29696,37.2857653,2.4,28.36976224,0.25
20.8,40,18.37792,76.68291641,2.3,30.89238415,0.25
20.8,40,18.86368,57.00790778,1.7,31.08410762,0.25
0,40,0,3.50341203,0.5,27.3759312,0.25
20.8,40,19.8352,0,0.5,26.2648887,0.25
20.8,40,20.07808,0,0.2,25.47704098,0.25
20.8,40,20.32096,0,-0.1,23.7879712,0.18
20.8,40,20.48288,0,-0.3,23.22267576,0.18
0,40,0,0,-0.8,22.65174844,0.18
0,40,0,0,-0.9,22.89301959,0.18
0,40,0,0,-1,22.0327283,0.18
0,40,0,0,-1.6,21.24395199,0.18
0,40,0,0,-1.6,20.25168695,0.18
0,40,0,0,-1.6,19.80840687,0.18
0,40,0,0,-2,19.1914913,0.25
0,40,0,0,-2.1,18.8659794,0.25
0,40,0,0,-2,19.25921115,0.25
0,40,0,0,-2.2,19.36815185,0.25
20.8,40,22.18304,0,-2.4,19.42964831,0.25
20.8,40,22.264,0,-2.5,18.5512757,0.25
20.8,40,21.77824,25.5093468,-1.9,20.18691253,0.25
20.8,40,21.29248,72.66180215,-1.3,23.83279354,0.25
0,40,0,107.1942171,-0.6,29.43547904,0.25
20.8,40,20.24,111.0930625,0,31.14436347,0.25
20.8,40,19.51136,103.1843394,0.9,32.74212508,0.25
20.8,40,19.8352,96.47031773,0.5,31.20209318,0.25
20.8,40,19.91616,58.29464147,0.4,27.83108506,0.25
0,40,0,3.894257384,-0.4,23.48970639,0.25
20.8,40,21.37344,0,-1.4,20.67645344,0.25
20.8,40,21.8592,0,-2,18.8791103,0.18
20.8,40,21.8592,0,-2,18.04778622,0.18
20.8,40,22.58784,0,-2.9,17.51737994,0.18
0,40,0,0,-3,17.62328267,0.18
0,40,0,0,-3,17.21544258,0.18
0,40,0,0,-2.9,17.10119664,0.18
0,40,0,0,-3.4,17.25757793,0.18
0,40,0,0,-4.2,16.87241556,0.18
0,40,0,0,-4.1,16.74282859,0.25
0,40,0,0,-4.2,16.12801956,0.25
0,40,0,0,-4.5,15.82347277,0.25
0,40,0,0,-4.6,15.29667068,0.25
0,40,0,0,-4.9,15.01089446,0.25
20.8,40,24.12608,0,-4.8,13.51379445,0.25
20.8,40,24.288,0,-5,13.25792837,0.25
20.8,40,24.12608,25.31091174,-4.8,14.17312602,0.25
20.8,40,23.4784,65.67333779,-4,16.77349125,0.25
0,40,0,101.0424979,-3.4,20.01166299,0.25
20.8,40,22.50688,94.73924914,-2.8,20.48120318,0.25
20.8,40,22.34496,75.94412989,-2.6,20.39367438,0.25
20.8,40,22.18304,47.44707901,-2.4,19.43854324,0.25
20.8,40,22.10208,13.29736232,-2.3,17.97273457,0.25
0,40,0,1.942384283,-2.5,17.4456349,0.25
20.8,40,22.18304,0,-2.4,16.50168347,0.18
20.8,40,22.264,0,-2.5,16.15514366,0.18
20.8,40,22.34496,0,-2.6,15.96426944,0.18
20.8,40,22.34496,0,-2.6,15.90891569,0.18
0,40,0,0,-2.5,16.61717107,0.18
0,40,0,0,-2.6,16.72412051,0.18
0,40,0,0,-2.8,16.69371125,0.18
0,40,0,0,-3.6,16.16308926,0.18
0,40,0,0,-3.7,15.80827779,0.25
0,40,0,0,-3.9,15.64323313,0.25
0,40,0,0,-3.9,15.68145599,0.25
0,40,0,0,-3.8,15.86609068,0.25
0,40,0,0,-3.8,15.83885789,0.25
0,40,0,0,-3.9,15.85942881,0.25
20.8,40,23.23552,0,-3.7,15.28563305,0.25
20.8,40,23.31648,0,-3.8,15.14244592,0.25
20.8,40,23.0736,3.618537439,-3.5,15.7447498,0.25
20.8,40,22.91168,11.34568633,-3.3,16.79564605,0.25
0,40,0,18.0174878,-3,18.62340008,0.25
20.8,40,22.42592,21.16013987,-2.7,18.94382025,0.25
20.8,40,22.18304,19.97338944,-2.4,20.01307247,0.25
20.8,40,22.10208,15.25045217,-2.3,19.94694186,0.25
20.8,40,22.02112,7.406297827,-2.2,19.78100399,0.25
0,40,0,1.164335983,-1.8,21.22492729,0.18
20.8,40,21.69728,0,-1.8,19.63909898,0.18
20.8,40,21.69728,0,-1.8,19.69351983,0.18
20.8,40,21.61632,0,-1.7,19.32597249,0.18
20.8,40,21.4544,0,-1.5,20.22383215,0.18
0,40,0,0,-1.3,21.59371971,0.18
0,40,0,0,-1.2,22.32135247,0.18
0,40,0,0,-1,22.76043157,0.18
0,40,0,0,-0.7,23.99126996,0.25
0,40,0,0,-0.8,24.74619956,0.25
0,40,0,0,-0.6,23.6437157,0.25
0,40,0,0,-1,21.35211627,0.25
0,40,0,0,-1.3,20.39210002,0.25
0,40,0,0,-1.5,19.70220162,0.25
0,40,0,0,-1.7,20.46046449,0.25
20.8,40,21.37344,0,-1.4,20.4604128,0.25
20.8,40,21.4544,0,-1.5,20.78970842,0.25
20.8,40,21.69728,8.31914927,-1.8,22.88823469,0.25
20.8,40,21.4544,24.03743331,-1.5,27.57162556,0.25
0,40,0,36.31205777,-1.2,30.59633128,0.25
20.8,40,20.80672,41.44192736,-0.7,38.56872387,0.25
20.8,40,20.40192,39.12954149,-0.2,45.2092462,0.25
20.8,40,20.48288,29.46430166,-0.3,43.93356182,0.25
20.8,40,20.80672,14.0839423,-0.7,35.53752609,0.18
0,40,0,1.164341475,-0.6,31.01706191,0.18
20.8,40,20.6448,0,-0.5,27.37210165,0.18
20.8,40,20.6448,0,-0.5,24.25051057,0.18
20.8,40,20.80672,0,-0.7,21.9352143,0.18
20.8,40,20.6448,0,-0.5,22.63372366,0.18
0,40,0,0,-0.4,21.88493619,0.18
0,40,0,0,-0.1,20.95427817,0.18
0,40,0,0,-0.5,19.99132802,0.25
0,40,0,0,-1.1,18.91475529,0.25
0,40,0,0,-1.2,18.65953007,0.25
0,40,0,0,-1.8,18.21905832,0.25
0,40,0,0,-1.8,17.85096334,0.25
0,40,0,0,-1.9,17.96368351,0.25
0,40,0,0,-2.1,17.78566424,0.25
0,40,0,0,-1.7,18.19382399,0.25
20.8,40,20.96864,0,-0.9,18.4741973,0.25
20.8,40,20.48288,0,-0.3,19.24638924,0.25
20.8,40,20.15904,3.586137369,0.1,20.17047784,0.25
20.8,40,19.75424,11.34446721,0.6,21.19815355,0.25
