q_dot_occ,q_dot_ac,q_dot_vent,q_dot_solar,T_amb,T_b,Phi
0,40,0,0,5.1,22.43,0.18
0,40,0,0,4.6,22.43,0.18
0,40,0,0,4.3,22.43,0.18
0,40,0,0,4,22.43,0.18
0,40,0,0,3.8,22.43,0.18
0,40,0,0,3.7,22.43,0.18
0,40,0,0,3.5,22.43,0.25
20.8,40,45.88,0,3.3,12.86,0.25
20.8,40,46.51,0,2.9,12.59,0.25
20.8,40,49.3,6.9,1.1,11.37,0.25
20.8,40,47.45,13.6,2.3,12.19,0.25
0,40,0,20.6,2.8,22.43,0.25
20.8,40,48.23,36.2,1.8,11.85,0.25
20.8,40,48.84,11.5,1.4,11.58,0.25
20.8,40,46.98,16.1,2.6,12.39,0.25
20.8,40,44.77,13.7,4,13.33,0.25
0,40,0,1.6,3.7,22.43,0.25
20.8,40,44.93,0,3.9,13.26,0.25
20.8,40,45.25,0,3.7,13.13,0.25
20.8,40,48.38,0,1.7,11.78,0.25
20.8,40,46.83,0,2.7,12.46,0.25
0,40,0,0,3.7,22.43,0.18
0,40,0,0,3.8,22.43,0.18
0,40,0,0,3.9,22.43,0.18
0,40,0,0,3.7,22.43,0.18
0,40,0,0,3.5,22.43,0.18
0,40,0,0,1.5,22.43,0.18
0,40,0,0,3.2,22.43,0.18
0,40,0,0,4.2,22.43,0.18
0,40,0,0,4,22.43,0.25
0,40,0,0,5,22.43,0.25
20.8,40,47.92,0,2,11.98,0.25
20.8,40,43.97,0,4.5,13.66,0.25
20.8,40,43.17,15,5,13.99,0.25
20.8,40,42.2,38.7,5.6,14.39,0.25
0,40,0,20.7,2.7,22.43,0.25
20.8,40,44.62,23.6,4.1,13.39,0.25
20.8,40,42.2,43.7,5.6,14.39,0.25
20.8,40,42.53,36.9,5.4,14.26,0.25
20.8,40,42.04,17,5.7,14.46,0.25
0,40,0,1.9,4.7,22.43,0.25
20.8,40,44.93,0,3.9,13.26,0.25
20.8,40,45.41,0,3.6,13.06,0.25
20.8,40,47.14,0,2.5,12.32,0.25
20.8,40,48.54,0,1.6,11.71,0.18
0,40,0,0,2.4,22.43,0.18
0,40,0,0,1,22.43,0.18
0,40,0,0,0.6,22.43,0.18
0,40,0,0,0.8,22.43,0.18
0,40,0,0,0.6,22.43,0.18
0,40,0,0,1.1,22.43,0.18
0,40,0,0,1.3,22.43,0.18
0,40,0,0,0.4,22.43,0.25
0,40,0,0,0.9,22.43,0.25
0,40,0,0,-0.2,22.43,0.25
20.8,40,50.97,0,0,10.62,0.25
20.8,40,50.67,0,0.2,10.76,0.25
20.8,40,49.3,4.7,1.1,11.37,0.25
20.8,40,48.07,13.9,1.9,11.92,0.25
0,40,0,20.9,2.3,22.43,0.25
20.8,40,47.3,24,2.4,12.25,0.25
20.8,40,47.3,22.4,2.4,12.25,0.25
20.8,40,47.46,46,2.3,12.19,0.25
20.8,40,48.38,34.2,1.7,11.78,0.25
0,40,0,2.1,0.5,22.43,0.25
20.8,40,50.21,0,0.5,10.96,0.25
20.8,40,50.67,0,0.2,10.76,0.25
20.8,40,51.12,0,-0.1,10.55,0.18
20.8,40,51.41,0,-0.3,10.41,0.18
0,40,0,0,-0.8,22.43,0.18
0,40,0,0,-0.9,22.43,0.18
0,40,0,0,-1,22.43,0.18
0,40,0,0,-1.6,22.43,0.18
0,40,0,0,-1.6,22.43,0.18
0,40,0,0,-1.6,22.43,0.18
0,40,0,0,-2,22.43,0.25
0,40,0,0,-2.1,22.43,0.25
0,40,0,0,-2,22.43,0.25
0,40,0,0,-2.2,22.43,0.25
20.8,40,54.46,0,-2.4,8.95,0.25
20.8,40,54.6,0,-2.5,8.88,0.25
20.8,40,53.75,15.3,-1.9,9.3,0.25
20.8,40,52.89,43.6,-1.3,9.72,0.25
0,40,0,64.3,-0.6,22.44,0.25
20.8,40,50.97,66.7,0,10.62,0.25
20.8,40,49.61,61.9,0.9,11.24,0.25
20.8,40,50.22,57.9,0.5,10.96,0.25
20.8,40,50.37,35,0.4,10.89,0.25
0,40,0,2.3,-0.4,22.43,0.25
20.8,40,53.03,0,-1.4,9.65,0.25
20.8,40,53.89,0,-2,9.23,0.18
20.8,40,53.89,0,-2,9.23,0.18
20.8,40,55.16,0,-2.9,8.59,0.18
0,40,0,0,-3,22.43,0.18
0,40,0,0,-3,22.43,0.18
0,40,0,0,-2.9,22.43,0.18
0,40,0,0,-3.4,22.43,0.18
0,40,0,0,-4.2,22.43,0.18
0,40,0,0,-4.1,22.43,0.25
0,40,0,0,-4.2,22.43,0.25
0,40,0,0,-4.5,22.43,0.25
0,40,0,0,-4.6,22.43,0.25
0,40,0,0,-4.9,22.43,0.25
20.8,40,57.71,0,-4.8,7.22,0.25
20.8,40,57.96,0,-5,7.08,0.25
20.8,40,57.71,15.2,-4.8,7.22,0.25
20.8,40,56.66,39.4,-4,7.8,0.25
0,40,0,60.6,-3.4,22.43,0.25
20.8,40,55.02,56.8,-2.8,8.66,0.25
20.8,40,54.74,45.6,-2.6,8.81,0.25
20.8,40,54.46,28.5,-2.4,8.95,0.25
20.8,40,54.32,8,-2.3,9.02,0.25
0,40,0,1.2,-2.5,22.43,0.25
20.8,40,54.46,0,-2.4,8.95,0.18
20.8,40,54.6,0,-2.5,8.88,0.18
20.8,40,54.74,0,-2.6,8.8,0.18
20.8,40,54.74,0,-2.6,8.8,0.18
0,40,0,0,-2.5,22.43,0.18
0,40,0,0,-2.6,22.43,0.18
0,40,0,0,-2.8,22.43,0.18
0,40,0,0,-3.6,22.43,0.18
0,40,0,0,-3.7,22.43,0.25
0,40,0,0,-3.9,22.43,0.25
0,40,0,0,-3.9,22.43,0.25
0,40,0,0,-3.8,22.43,0.25
0,40,0,0,-3.8,22.43,0.25
0,40,0,0,-3.9,22.43,0.25
20.8,40,56.26,0,-3.7,8.02,0.25
20.8,40,56.39,0,-3.8,7.95,0.25
20.8,40,55.99,2.2,-3.5,8.16,0.25
20.8,40,55.72,6.8,-3.3,8.31,0.25
0,40,0,10.8,-3,22.43,0.25
20.8,40,54.88,12.7,-2.7,8.73,0.25
20.8,40,54.46,12,-2.4,8.95,0.25
20.8,40,54.32,9.2,-2.3,9.02,0.25
20.8,40,54.18,4.4,-2.2,9.09,0.25
0,40,0,0.7,-1.8,22.43,0.18
20.8,40,53.61,0,-1.8,9.37,0.18
20.8,40,53.61,0,-1.8,9.37,0.18
20.8,40,53.46,0,-1.7,9.44,0.18
20.8,40,53.18,0,-1.5,9.58,0.18
0,40,0,0,-1.3,22.43,0.18
0,40,0,0,-1.2,22.43,0.18
0,40,0,0,-1,22.43,0.18
0,40,0,0,-0.7,22.43,0.25
0,40,0,0,-0.8,22.43,0.25
0,40,0,0,-0.6,22.43,0.25
0,40,0,0,-1,22.43,0.25
0,40,0,0,-1.3,22.43,0.25
0,40,0,0,-1.5,22.43,0.25
0,40,0,0,-1.7,22.43,0.25
20.8,40,53.03,0,-1.4,9.65,0.25
20.8,40,53.18,0,-1.5,9.58,0.25
20.8,40,53.61,5,-1.8,9.37,0.25
20.8,40,53.18,14.4,-1.5,9.58,0.25
0,40,0,21.8,-1.2,22.43,0.25
20.8,40,52.01,24.9,-0.7,10.14,0.25
20.8,40,51.27,23.5,-0.2,10.48,0.25
20.8,40,51.42,17.7,-0.3,10.41,0.25
20.8,40,52.01,8.5,-0.7,10.13,0.18
0,40,0,0.7,-0.6,22.43,0.18
20.8,40,51.71,0,-0.5,10.27,0.18
20.8,40,51.71,0,-0.5,10.27,0.18
20.8,40,52.01,0,-0.7,10.13,0.18
20.8,40,51.71,0,-0.5,10.27,0.18
0,40,0,0,-0.4,22.43,0.18
0,40,0,0,-0.1,22.43,0.18
0,40,0,0,-0.5,22.43,0.25
0,40,0,0,-1.1,22.43,0.25
0,40,0,0,-1.2,22.43,0.25
0,40,0,0,-1.8,22.43,0.25
0,40,0,0,-1.8,22.43,0.25
0,40,0,0,-1.9,22.43,0.25
0,40,0,0,-2.1,22.43,0.25
0,40,0,0,-1.7,22.43,0.25
20.8,40,52.3,0,-0.9,10,0.25
20.8,40,51.41,0,-0.3,10.41,0.25
20.8,40,50.82,2.2,0.1,10.69,0.25
20.8,40,50.06,6.8,0.6,11.03,0.25
0,40,0,10.8,0.9,22.43,0.25
20.8,40,49.15,12.7,1.2,11.44,0.25
20.8,40,48.69,12.2,1.5,11.64,0.25
20.8,40,48.54,9.4,1.6,11.71,0.18
20.8,40,48.69,4.7,1.5,11.64,0.18
0,40,0,0.7,1.6,22.43,0.18
20.8,40,48.38,0,1.7,11.78,0.18
20.8,40,48.07,0,1.9,11.92,0.18
20.8,40,47.45,0,2.3,12.19,0.18
20.8,40,43.49,0,4.8,13.86,0.18
0,40,0,0,4.7,22.43,0.18
0,40,0,0,4.7,22.43,0.25
0,40,0,0,4.5,22.43,0.25
0,40,0,0,3.7,22.43,0.25
0,40,0,0,4.2,22.43,0.25
0,40,0,0,3.5,22.43,0.25
0,40,0,0,4.2,22.43,0.25
0,40,0,0,4.2,22.43,0.25
0,40,0,0,4.9,22.43,0.25
0,40,0,0,4.9,22.43,0.25
20.8,40,43.17,0,5,13.99,0.25
20.8,40,44.29,0,4.3,13.53,0.25
20.8,40,44.77,4.9,4,13.33,0.25
20.8,40,42.69,14.7,5.3,14.19,0.25
0,40,0,10.8,5.9,22.43,0.25
20.8,40,40.9,25,6.4,14.92,0.25
20.8,40,40.41,23.8,6.7,15.12,0.18
20.8,40,41.06,9.4,6.3,14.85,0.18
20.8,40,41.22,4.7,6.2,14.79,0.18
0,40,0,0.7,6.5,22.43,0.18
20.8,40,40.4,0,6.7,15.12,0.18
20.8,40,40.24,0,6.8,15.18,0.18
20.8,40,39.25,0,7.4,15.58,0.18
20.8,40,38.59,0,7.8,15.84,0.18
0,40,0,0,8.3,22.44,0.25
0,40,0,0,8.1,22.44,0.25
0,40,0,0,8,22.44,0.25
0,40,0,0,8.6,22.44,0.25
0,40,0,0,8.2,22.44,0.25
0,40,0,0,7.7,22.44,0.25
0,40,0,0,7.3,22.44,0.25
0,40,0,0,7,22.44,0.25
0,40,0,0,7,22.44,0.25
0,40,0,0,6.7,22.43,0.25
20.8,40,40.57,0,6.6,15.05,0.25
20.8,40,40.73,0,6.5,14.99,0.25
20.8,40,41.22,11.8,6.2,14.79,0.25
20.8,40,44.3,38.7,4.3,13.53,0.25
0,40,0,22.4,5.5,22.43,0.25
20.8,40,44.3,13.2,4.3,13.53,0.18
20.8,40,41.55,12.5,6,14.66,0.18
20.8,40,41.39,9.6,6.1,14.72,0.18
20.8,40,41.55,4.9,6,14.66,0.18
0,40,0,0.9,5.8,22.43,0.18
20.8,40,43.49,0,4.8,13.86,0.18
20.8,40,43.97,0,4.5,13.66,0.18
20.8,40,45.09,0,3.8,13.19,0.18
20.8,40,45.41,0,3.6,13.06,0.25
0,40,0,0,3.1,22.43,0.25
0,40,0,0,2.9,22.43,0.25
0,40,0,0,2.8,22.43,0.25
0,40,0,0,2.9,22.43,0.25
0,40,0,0,3.7,22.43,0.25
0,40,0,0,3.6,22.43,0.25
0,40,0,0,3.4,22.43,0.25
0,40,0,0,3.7,22.43,0.25
0,40,0,0,2.8,22.43,0.25
0,40,0,0,2,22.43,0.25
20.8,40,46.83,0,2.7,12.46,0.25
20.8,40,45.09,0,3.8,13.19,0.25
20.8,40,45.41,17.2,3.6,13.06,0.25
20.8,40,44.62,43.7,4.1,13.4,0.25
0,40,0,63.8,5.1,22.44,0.18
20.8,40,45.26,68.4,3.7,13.13,0.18
20.8,40,46.36,37.1,3,12.66,0.18
20.8,40,44.46,53.6,4.2,13.46,0.18
20.8,40,45.25,37.3,3.7,13.13,0.18
0,40,0,3.5,2.8,22.43,0.18
20.8,40,44.93,0,3.9,13.26,0.18
20.8,40,45.88,0,3.3,12.86,0.18
20.8,40,45.57,0,3.5,12.99,0.25
20.8,40,45.09,0,3.8,13.19,0.25
0,40,0,0,3.5,22.43,0.25
0,40,0,0,3.3,22.43,0.25
